Index,PctInt*100,NGI Set Intensity,x,y,Lumens
522,2880,0.288,0.1289,0.0579,1.1347
523,2890,0.289,0.1289,0.0579,1.1382
524,2900,0.29,0.1289,0.0578,1.1412
525,2910,0.291,0.1289,0.058,1.1421
526,2920,0.292,0.129,0.0584,1.1404
527,2930,0.293,0.1289,0.058,1.1474
528,2940,0.294,0.129,0.0581,1.1492
529,2950,0.295,0.129,0.0581,1.1526
530,2960,0.296,0.129,0.0579,1.1562
531,2970,0.297,0.129,0.0581,1.1567
532,2980,0.298,0.129,0.0581,1.1594
533,2990,0.299,0.129,0.0579,1.1643
534,3000,0.3,0.129,0.0581,1.1647
535,3010,0.301,0.129,0.0581,1.167
536,3020,0.302,0.129,0.0579,1.1718
537,3030,0.303,0.129,0.0578,1.1751
538,3040,0.304,0.129,0.0579,1.178
539,3050,0.305,0.1292,0.0579,1.1793
540,3060,0.306,0.129,0.058,1.1816
541,3070,0.307,0.1291,0.0579,1.1847
542,3080,0.308,0.1291,0.0579,1.1869
543,3090,0.309,0.129,0.0578,1.1917
544,3100,0.31,0.1291,0.0578,1.1933
545,3110,0.311,0.1291,0.0579,1.194
546,3120,0.312,0.1291,0.0578,1.1986
547,3130,0.313,0.1291,0.058,1.1996
548,3140,0.314,0.1291,0.0578,1.2039
549,3150,0.315,0.1291,0.0578,1.2064
550,3160,0.316,0.1291,0.0579,1.2071
551,3170,0.317,0.1291,0.0576,1.2132
552,3180,0.318,0.1291,0.0578,1.214
553,3190,0.319,0.1291,0.0576,1.2181
554,3200,0.32,0.1292,0.0579,1.2173
555,3210,0.321,0.1292,0.0577,1.2218
556,3220,0.322,0.1291,0.058,1.2254
557,3230,0.323,0.1292,0.0577,1.229
558,3240,0.324,0.1291,0.0577,1.2312
559,3250,0.325,0.1292,0.0577,1.2339
560,3260,0.326,0.1292,0.0577,1.2364
561,3270,0.327,0.1292,0.0577,1.2395
562,3280,0.328,0.1292,0.0578,1.2406
563,3290,0.329,0.1292,0.0575,1.2471
564,3300,0.33,0.1292,0.0577,1.248
565,3310,0.331,0.1292,0.0577,1.2503
566,3320,0.332,0.1292,0.0576,1.2512
567,3330,0.333,0.1292,0.0577,1.2532
568,3340,0.334,0.1292,0.0576,1.2575
569,3350,0.335,0.1292,0.0575,1.2613
570,3360,0.336,0.1293,0.0575,1.263
571,3370,0.337,0.1292,0.0575,1.266
572,3380,0.338,0.1292,0.0576,1.2672
573,3390,0.339,0.1292,0.0575,1.2716
574,3400,0.34,0.1293,0.0577,1.2711
575,3410,0.341,0.1293,0.0576,1.2745
576,3420,0.342,0.1293,0.0575,1.2775
577,3430,0.343,0.1293,0.0575,1.2805
578,3440,0.344,0.1293,0.0574,1.2838
579,3450,0.345,0.1293,0.0571,1.2902
580,3460,0.346,0.1293,0.0572,1.2917
581,3470,0.347,0.1293,0.0573,1.2935
582,3480,0.348,0.1293,0.0574,1.2954
